Dataset,Seed,FeatureGroup,AUC,Recall@10%LOC,Precision@10%LOC,InspectedModules@10%LOC,Recall@20%LOC,Precision@20%LOC,InspectedModules@20%LOC,Recall@30%LOC,Precision@30%LOC,InspectedModules@30%LOC
JM1,2,规模度量,0.717204965735321,0.02531645569620253,0.7272727272727273,22.0,0.06962025316455696,0.6376811594202898,69.0,0.1281645569620253,0.5436241610738255,149.0
JM1,3,规模度量,0.7074568928231596,0.030063291139240507,0.7307692307692307,26.0,0.0759493670886076,0.5714285714285714,84.0,0.14240506329113925,0.5389221556886228,167.0
JM1,4,规模度量,0.725284257470469,0.022151898734177215,0.6666666666666666,21.0,0.06329113924050633,0.5714285714285714,70.0,0.125,0.5302013422818792,149.0
JM1,5,规模度量,0.7185310400507482,0.028481012658227847,0.6428571428571429,28.0,0.07278481012658228,0.5476190476190477,84.0,0.1360759493670886,0.49710982658959535,173.0
JM1,6,规模度量,0.7098813711638458,0.022151898734177215,0.5833333333333334,24.0,0.06645569620253164,0.5384615384615384,78.0,0.1360759493670886,0.5375,160.0
JM1,7,规模度量,0.708494024105418,0.022151898734177215,0.5185185185185185,27.0,0.06487341772151899,0.5061728395061729,81.0,0.1439873417721519,0.5290697674418605,172.0
JM1,8,规模度量,0.7154034269484733,0.020569620253164556,0.7647058823529411,17.0,0.0680379746835443,0.6615384615384615,65.0,0.12974683544303797,0.5540540540540541,148.0
JM1,9,规模度量,0.7198862489547591,0.028481012658227847,0.6923076923076923,26.0,0.07753164556962025,0.6805555555555556,72.0,0.12658227848101267,0.5517241379310345,145.0
JM1,0,控制复杂度,0.693002832963294,0.03322784810126582,0.6774193548387096,31.0,0.08069620253164557,0.5483870967741935,93.0,0.15981012658227847,0.5153061224489796,196.0
JM1,1,控制复杂度,0.6793516262506848,0.030063291139240507,0.7307692307692307,26.0,0.07753164556962025,0.6049382716049383,81.0,0.13924050632911392,0.5269461077844312,167.0
JM1,2,控制复杂度,0.6811856035485329,0.03322784810126582,0.6774193548387096,31.0,0.07911392405063292,0.5376344086021505,93.0,0.1629746835443038,0.5228426395939086,197.0
JM1,3,控制复杂度,0.675124708053401,0.04588607594936709,0.725,40.0,0.09335443037974683,0.5514018691588785,107.0,0.16930379746835442,0.5095238095238095,210.0
JM1,4,控制复杂度,0.691412144497948,0.03481012658227848,0.7096774193548387,31.0,0.08069620253164557,0.5862068965517241,87.0,0.14082278481012658,0.49171270718232046,181.0
JM1,5,控制复杂度,0.6749727276222331,0.03481012658227848,0.5945945945945946,37.0,0.0949367088607595,0.5660377358490566,106.0,0.18670886075949367,0.5267857142857143,224.0
JM1,6,控制复杂度,0.6645140110338994,0.0379746835443038,0.631578947368421,38.0,0.08069620253164557,0.49038461538461536,104.0,0.1518987341772152,0.4682926829268293,205.0
JM1,7,控制复杂度,0.6596881818094442,0.03164556962025317,0.5882352941176471,34.0,0.0949367088607595,0.5172413793103449,116.0,0.17721518987341772,0.49777777777777776,225.0
JM1,8,控制复杂度,0.6711344708437857,0.028481012658227847,0.6923076923076923,26.0,0.06645569620253164,0.4883720930232558,86.0,0.14715189873417722,0.5081967213114754,183.0
JM1,9,控制复杂度,0.6864844943917419,0.04430379746835443,0.7368421052631579,38.0,0.09335443037974683,0.6020408163265306,98.0,0.15981012658227847,0.5343915343915344,189.0
JM1,0,Halstead度量,0.6824768365002931,0.03164556962025317,0.6666666666666666,30.0,0.08386075949367089,0.5520833333333334,96.0,0.1550632911392405,0.47804878048780486,205.0
JM1,1,Halstead度量,0.6817052204377037,0.022151898734177215,0.6363636363636364,22.0,0.06645569620253164,0.5833333333333334,72.0,0.1281645569620253,0.49693251533742333,163.0
JM1,2,Halstead度量,0.6747111170381477,0.028481012658227847,0.72,25.0,0.08386075949367089,0.6162790697674418,86.0,0.15664556962025317,0.518324607329843,191.0
JM1,3,Halstead度量,0.6589865488307719,0.03639240506329114,0.5227272727272727,44.0,0.1060126582278481,0.5826086956521739,115.0,0.15981012658227847,0.45495495495495497,222.0
JM1,4,Halstead度量,0.6848745831050623,0.023734177215189875,0.5769230769230769,26.0,0.0759493670886076,0.5581395348837209,86.0,0.1439873417721519,0.48663101604278075,187.0
JM1,5,Halstead度量,0.6777792595369222,0.03322784810126582,0.5833333333333334,36.0,0.08386075949367089,0.5096153846153846,104.0,0.14873417721518986,0.4372093023255814,215.0
JM1,6,Halstead度量,0.6704106114779467,0.03481012658227848,0.7096774193548387,31.0,0.08386075949367089,0.5353535353535354,99.0,0.14715189873417722,0.4720812182741117,197.0
JM1,7,Halstead度量,0.6633251996770566,0.03164556962025317,0.6451612903225806,31.0,0.08544303797468354,0.5346534653465347,101.0,0.1661392405063291,0.5072463768115942,207.0
JM1,8,Halstead度量,0.6702210864738618,0.020569620253164556,0.65,20.0,0.07436708860759493,0.573170731707317,82.0,0.15348101265822786,0.521505376344086,186.0
JM1,9,Halstead度量,0.6784460511519276,0.03955696202531646,0.6756756756756757,37.0,0.09177215189873418,0.5979381443298969,97.0,0.14556962025316456,0.4742268041237113,194.0
JM1,0,全部度量,0.724459478292629,0.02689873417721519,0.7083333333333334,24.0,0.08386075949367089,0.6162790697674418,86.0,0.15981012658227847,0.5872093023255814,172.0
JM1,1,全部度量,0.7173926885999058,0.022151898734177215,0.7777777777777778,18.0,0.06962025316455696,0.6376811594202898,69.0,0.1439873417721519,0.5870967741935483,155.0
JM1,2,全部度量,0.7089688878636717,0.0379746835443038,0.8,30.0,0.08860759493670886,0.6666666666666666,84.0,0.15031645569620253,0.5277777777777778,180.0
JM1,3,全部度量,0.7014173226454447,0.03322784810126582,0.65625,32.0,0.10284810126582279,0.6435643564356436,101.0,0.16455696202531644,0.5591397849462365,186.0
